donor_id,true_age,predicted_age,n_cells
aida:SG_HEL_H096,39.0,37.691067,529
aida:SG_HEL_H099,33.0,38.36944,384
aida:SG_HEL_H101,30.0,38.190987,475
aida:SG_HEL_H103,39.0,38.701694,311
aida:SG_HEL_H105,30.0,37.867477,372
aida:SG_HEL_H106,47.0,38.012665,616
aida:SG_HEL_H108,49.0,38.556698,476
aida:SG_HEL_H109,48.0,38.30396,535
aida:SG_HEL_H110,49.0,38.190685,307
aida:SG_HEL_H111,52.0,35.452084,442
aida:SG_HEL_H113,61.0,37.98751,546
aida:SG_HEL_H117,67.0,37.983006,441
aida:SG_HEL_H118,66.0,37.969803,320
aida:SG_HEL_H119,43.0,38.151947,593
aida:SG_HEL_H121,55.0,39.232,247
aida:SG_HEL_H123,58.0,38.20676,365
aida:SG_HEL_H124,60.0,36.023346,146
aida:SG_HEL_H125,47.0,38.858902,206
aida:SG_HEL_H126,61.0,34.892277,471
aida:SG_HEL_H127,50.0,38.34885,453
aida:SG_HEL_H130,61.0,37.572086,309
aida:SG_HEL_H134,48.0,38.965336,231
aida:SG_HEL_H135,43.0,38.22889,313
aida:SG_HEL_H136,38.0,38.502716,133
aida:SG_HEL_H138,64.0,39.282,579
aida:SG_HEL_H139,50.0,38.161274,379
aida:SG_HEL_H140,50.0,38.81834,267
aida:SG_HEL_H143,67.0,38.388454,220
aida:SG_HEL_H144,35.0,34.77393,325
aida:SG_HEL_H145,50.0,38.158535,418
aida:SG_HEL_H146,45.0,35.442436,516
aida:SG_HEL_H148,37.0,35.144924,485
aida:SG_HEL_H152,47.0,37.611336,258
aida:SG_HEL_H153,40.0,34.89254,352
aida:SG_HEL_H156,31.0,34.420135,343
aida:SG_HEL_H158,68.0,38.07541,392
aida:SG_HEL_H164,55.0,34.94708,538
aida:SG_HEL_H166,36.0,34.79596,389
aida:SG_HEL_H171,65.0,35.241756,543
aida:SG_HEL_H172,47.0,39.03735,377
aida:SG_HEL_H174,53.0,33.7596,268
aida:SG_HEL_H176,54.0,38.576424,321
aida:SG_HEL_H178,48.0,38.13877,556
aida:SG_HEL_H180,64.0,38.585342,376
aida:SG_HEL_H181,58.0,38.07586,276
aida:SG_HEL_H182,63.0,38.421394,172
aida:SG_HEL_H188,66.0,38.824455,253
aida:SG_HEL_H189,48.0,39.20868,300
aida:SG_HEL_H191,62.0,35.410664,537
aida:SG_HEL_H193,33.0,37.546303,202
aida:SG_HEL_H194,40.0,35.65722,212
aida:SG_HEL_H195,64.0,35.469643,454
aida:SG_HEL_H198,66.0,34.73551,384
aida:SG_HEL_H199,60.0,35.481182,523
aida:SG_HEL_H209,56.0,37.749035,495
aida:SG_HEL_H213,31.0,38.115627,534
aida:SG_HEL_H214,30.0,35.44901,509
aida:SG_HEL_H217,53.0,35.229286,666
aida:SG_HEL_H220,53.0,35.32527,736
aida:SG_HEL_H222,45.0,38.08671,582
aida:SG_HEL_H226,44.0,38.967068,552
aida:SG_HEL_H227,50.0,37.57921,306
aida:SG_HEL_H229,58.0,37.939743,228
aida:SG_HEL_H230,49.0,37.774967,326
aida:SG_HEL_H231,56.0,34.676353,696
aida:SG_HEL_H234,48.0,37.302017,310
aida:SG_HEL_H237,65.0,39.407337,354
aida:SG_HEL_H241,49.0,34.681248,201
aida:SG_HEL_H242,67.0,39.134205,326
aida:SG_HEL_H245,45.0,34.39454,358
aida:SG_HEL_H248,48.0,34.898857,664
aida:SG_HEL_H249,43.0,37.62623,236
aida:SG_HEL_H253,52.0,35.009277,362
aida:SG_HEL_H254,31.0,37.75072,445
aida:SG_HEL_H257,62.0,34.136475,512
aida:SG_HEL_H258,47.0,34.761158,314
aida:SG_HEL_H261,46.0,34.833206,340
aida:SG_HEL_H262,43.0,38.569347,324
aida:SG_HEL_H266,51.0,37.206497,132
