method,fold,cell_type,seed,layer,k_pc,R_full,MAE_full,R_residual,MAE_residual,deltaR_holdout,R_aida_full,R_aida_residual,deltaR_aida
geneformer_frozen_seed0,loco_onek1k,B,0,9,5,0.0233,22.6661,-0.0289,28.5384,-0.0522,-0.0076,0.0863,0.0940
geneformer_frozen_seed0,loco_onek1k,B,0,9,10,0.0233,22.6661,0.0282,18.7023,0.0049,-0.0076,0.2522,0.2598
geneformer_frozen_seed0,loco_onek1k,B,0,9,25,0.0233,22.6661,-0.1540,19.8337,-0.1773,-0.0076,0.1970,0.2046
geneformer_frozen_seed0,loco_onek1k,B,0,9,50,0.0233,22.6661,-0.0948,19.8290,-0.1181,-0.0076,0.1776,0.1852
geneformer_frozen_seed0,loco_onek1k,B,0,10,5,-0.0683,27.6511,-0.0353,29.0000,0.0330,0.1071,0.1006,-0.0066
geneformer_frozen_seed0,loco_onek1k,B,0,10,10,-0.0683,27.6511,-0.0043,19.4545,0.0639,0.1071,0.2296,0.1224
geneformer_frozen_seed0,loco_onek1k,B,0,10,25,-0.0683,27.6511,-0.1407,21.1003,-0.0725,0.1071,0.2717,0.1646
geneformer_frozen_seed0,loco_onek1k,B,0,10,50,-0.0683,27.6511,-0.0851,19.9320,-0.0168,0.1071,0.3086,0.2014
geneformer_frozen_seed0,loco_onek1k,B,0,11,5,-0.0494,37.9452,0.0001,31.8307,0.0495,0.1201,0.1737,0.0536
geneformer_frozen_seed0,loco_onek1k,B,0,11,10,-0.0494,37.9452,0.0081,23.5833,0.0575,0.1201,0.2162,0.0961
geneformer_frozen_seed0,loco_onek1k,B,0,11,25,-0.0494,37.9452,-0.0981,20.2595,-0.0487,0.1201,0.2681,0.1480
geneformer_frozen_seed0,loco_onek1k,B,0,11,50,-0.0494,37.9452,-0.1262,19.6451,-0.0768,0.1201,0.2673,0.1472
geneformer_frozen_seed0,loco_onek1k,B,0,12,5,-0.0126,21.6908,0.0169,20.0414,0.0296,0.0986,0.1022,0.0036
geneformer_frozen_seed0,loco_onek1k,B,0,12,10,-0.0126,21.6908,0.0789,18.2247,0.0916,0.0986,0.1259,0.0273
geneformer_frozen_seed0,loco_onek1k,B,0,12,25,-0.0126,21.6908,-0.1509,23.6189,-0.1382,0.0986,0.2739,0.1753
geneformer_frozen_seed0,loco_onek1k,B,0,12,50,-0.0126,21.6908,0.0275,19.8055,0.0401,0.0986,0.2302,0.1316
geneformer_frozen_seed0,loco_onek1k,NK,0,0,5,0.1779,11.3263,0.1326,12.8348,-0.0453,0.0790,0.1551,0.0760
geneformer_frozen_seed0,loco_onek1k,NK,0,0,10,0.1779,11.3263,0.0838,13.2430,-0.0940,0.0790,-0.1161,-0.1951
geneformer_frozen_seed0,loco_onek1k,NK,0,0,25,0.1779,11.3263,0.0984,17.6997,-0.0795,0.0790,-0.0042,-0.0833
geneformer_frozen_seed0,loco_onek1k,NK,0,0,50,0.1779,11.3263,0.2080,16.2424,0.0301,0.0790,0.0123,-0.0667
geneformer_frozen_seed0,loco_onek1k,NK,0,1,5,0.1634,11.9217,0.1983,11.4688,0.0349,0.1495,0.2276,0.0782
geneformer_frozen_seed0,loco_onek1k,NK,0,1,10,0.1634,11.9217,0.1437,14.5841,-0.0197,0.1495,0.1181,-0.0314
geneformer_frozen_seed0,loco_onek1k,NK,0,1,25,0.1634,11.9217,0.1748,20.2781,0.0114,0.1495,0.1100,-0.0395
geneformer_frozen_seed0,loco_onek1k,NK,0,1,50,0.1634,11.9217,0.1926,17.0142,0.0292,0.1495,-0.0784,-0.2279
geneformer_frozen_seed0,loco_onek1k,NK,0,2,5,0.1148,32.5449,0.1245,19.9367,0.0097,0.0843,0.2058,0.1215
geneformer_frozen_seed0,loco_onek1k,NK,0,2,10,0.1148,32.5449,0.1306,20.4925,0.0157,0.0843,0.1051,0.0207
geneformer_frozen_seed0,loco_onek1k,NK,0,2,25,0.1148,32.5449,0.0669,30.6052,-0.0479,0.0843,0.2686,0.1842
geneformer_frozen_seed0,loco_onek1k,NK,0,2,50,0.1148,32.5449,-0.0166,20.8955,-0.1314,0.0843,0.0379,-0.0464
geneformer_frozen_seed0,loco_onek1k,NK,0,3,5,0.3045,62.2842,-0.0330,19.9366,-0.3374,0.1404,0.1345,-0.0059
geneformer_frozen_seed0,loco_onek1k,NK,0,3,10,0.3045,62.2842,0.2078,20.3639,-0.0967,0.1404,0.0402,-0.1003
geneformer_frozen_seed0,loco_onek1k,NK,0,3,25,0.3045,62.2842,0.1910,25.7349,-0.1135,0.1404,0.2383,0.0979
geneformer_frozen_seed0,loco_onek1k,NK,0,3,50,0.3045,62.2842,0.0962,19.7571,-0.2083,0.1404,0.2580,0.1175
geneformer_frozen_seed0,loco_onek1k,NK,0,4,5,0.2775,65.9764,0.1342,31.2177,-0.1433,0.0821,0.1113,0.0292
geneformer_frozen_seed0,loco_onek1k,NK,0,4,10,0.2775,65.9764,0.1955,21.1037,-0.0820,0.0821,0.1325,0.0504
geneformer_frozen_seed0,loco_onek1k,NK,0,4,25,0.2775,65.9764,0.2131,25.8984,-0.0644,0.0821,0.0258,-0.0562
geneformer_frozen_seed0,loco_onek1k,NK,0,4,50,0.2775,65.9764,0.2240,23.9265,-0.0535,0.0821,0.0436,-0.0385
geneformer_frozen_seed0,loco_onek1k,NK,0,5,5,0.2518,61.7226,0.0196,21.5782,-0.2322,0.1685,0.1046,-0.0639
geneformer_frozen_seed0,loco_onek1k,NK,0,5,10,0.2518,61.7226,0.0768,20.7206,-0.1750,0.1685,0.3464,0.1779
geneformer_frozen_seed0,loco_onek1k,NK,0,5,25,0.2518,61.7226,0.2038,26.0862,-0.0480,0.1685,0.1739,0.0054
geneformer_frozen_seed0,loco_onek1k,NK,0,5,50,0.2518,61.7226,0.1201,22.6072,-0.1317,0.1685,0.2370,0.0684
geneformer_frozen_seed0,loco_onek1k,NK,0,6,5,0.2057,47.1753,-0.0172,21.5378,-0.2229,0.1385,0.1279,-0.0106
geneformer_frozen_seed0,loco_onek1k,NK,0,6,10,0.2057,47.1753,0.1575,26.8615,-0.0482,0.1385,0.2581,0.1196
geneformer_frozen_seed0,loco_onek1k,NK,0,6,25,0.2057,47.1753,0.2860,51.7313,0.0803,0.1385,0.2451,0.1065
geneformer_frozen_seed0,loco_onek1k,NK,0,6,50,0.2057,47.1753,0.2104,20.1464,0.0047,0.1385,0.1408,0.0023
geneformer_frozen_seed0,loco_onek1k,NK,0,7,5,0.2451,44.6694,-0.0658,21.5698,-0.3108,0.0449,0.1539,0.1090
geneformer_frozen_seed0,loco_onek1k,NK,0,7,10,0.2451,44.6694,0.1301,23.0669,-0.1150,0.0449,0.1522,0.1074
geneformer_frozen_seed0,loco_onek1k,NK,0,7,25,0.2451,44.6694,0.2781,20.1620,0.0330,0.0449,0.2166,0.1717
geneformer_frozen_seed0,loco_onek1k,NK,0,7,50,0.2451,44.6694,0.2227,19.6309,-0.0223,0.0449,0.2260,0.1811
geneformer_frozen_seed0,loco_onek1k,NK,0,8,5,0.2506,31.5843,-0.0293,20.5236,-0.2799,0.0864,0.1286,0.0422
geneformer_frozen_seed0,loco_onek1k,NK,0,8,10,0.2506,31.5843,0.1677,24.2028,-0.0829,0.0864,0.1257,0.0393
geneformer_frozen_seed0,loco_onek1k,NK,0,8,25,0.2506,31.5843,0.2676,19.9715,0.0170,0.0864,-0.0052,-0.0915
