method,fold,cell_type,seed,layer,cca_train_R,ols_holdout_R,ridge_holdout_R,ols_aida_R,ridge_aida_R
geneformer_rank16_seed0,loco_onek1k,CD4+ T,0,12,1.0000,,0.6192,,0.5595
geneformer_rank16_seed1,loco_onek1k,CD4+ T,1,0,1.0000,,0.3370,,0.2968
geneformer_rank16_seed1,loco_onek1k,CD4+ T,1,1,1.0000,,0.4677,,0.4520
geneformer_rank16_seed1,loco_onek1k,CD4+ T,1,2,1.0000,,0.5178,,0.4369
geneformer_rank16_seed1,loco_onek1k,CD4+ T,1,3,1.0000,,0.5449,,0.4383
geneformer_rank16_seed1,loco_onek1k,CD4+ T,1,4,1.0000,,0.5304,,0.4232
geneformer_rank16_seed1,loco_onek1k,CD4+ T,1,5,1.0000,,0.6178,,0.4208
geneformer_rank16_seed1,loco_onek1k,CD4+ T,1,6,1.0000,,0.6318,,0.4294
geneformer_rank16_seed1,loco_onek1k,CD4+ T,1,7,1.0000,,0.5901,,0.5421
geneformer_rank16_seed1,loco_onek1k,CD4+ T,1,8,1.0000,,0.6195,,0.5867
geneformer_rank16_seed1,loco_onek1k,CD4+ T,1,9,1.0000,,0.6018,,0.5811
geneformer_rank16_seed1,loco_onek1k,CD4+ T,1,10,1.0000,,0.6230,,0.6352
geneformer_rank16_seed1,loco_onek1k,CD4+ T,1,11,1.0000,,0.6038,,0.5663
geneformer_rank16_seed1,loco_onek1k,CD4+ T,1,12,1.0000,,0.6165,,0.4918
geneformer_rank16_seed2,loco_onek1k,CD4+ T,2,0,1.0000,,0.3370,,0.2968
geneformer_rank16_seed2,loco_onek1k,CD4+ T,2,1,1.0000,,0.4814,,0.4479
geneformer_rank16_seed2,loco_onek1k,CD4+ T,2,2,1.0000,,0.5389,,0.4466
geneformer_rank16_seed2,loco_onek1k,CD4+ T,2,3,1.0000,,0.5583,,0.3933
geneformer_rank16_seed2,loco_onek1k,CD4+ T,2,4,1.0000,,0.5110,,0.4993
geneformer_rank16_seed2,loco_onek1k,CD4+ T,2,5,1.0000,,0.5950,,0.3874
geneformer_rank16_seed2,loco_onek1k,CD4+ T,2,6,1.0000,,0.6128,,0.4989
geneformer_rank16_seed2,loco_onek1k,CD4+ T,2,7,1.0000,,0.6186,,0.4804
geneformer_rank16_seed2,loco_onek1k,CD4+ T,2,8,1.0000,,0.5738,,0.6083
geneformer_rank16_seed2,loco_onek1k,CD4+ T,2,9,1.0000,,0.5853,,0.6345
geneformer_rank16_seed2,loco_onek1k,CD4+ T,2,10,1.0000,,0.6092,,0.6350
geneformer_rank16_seed2,loco_onek1k,CD4+ T,2,11,1.0000,,0.5744,,0.6312
geneformer_rank16_seed2,loco_onek1k,CD4+ T,2,12,1.0000,,0.5858,,0.5592
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,0,1.0000,,0.3370,,0.2968
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,1,1.0000,,0.4756,,0.4513
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,2,1.0000,,0.5112,,0.4506
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,3,1.0000,,0.5051,,0.4263
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,4,1.0000,,0.4700,,0.4994
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,5,1.0000,,0.5452,,0.5039
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,6,1.0000,,0.5568,,0.5645
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,7,1.0000,,0.5525,,0.5556
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,8,1.0000,,0.5565,,0.6136
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,9,1.0000,,0.5895,,0.6211
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,10,1.0000,,0.6127,,0.5280
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,11,1.0000,,0.5373,,0.6163
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,12,1.0000,,0.6331,,0.6048
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,0,1.0000,,0.3370,,0.2968
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,1,1.0000,,0.4668,,0.4439
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,2,1.0000,,0.5028,,0.4319
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,3,1.0000,,0.4982,,0.4434
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,4,1.0000,,0.5007,,0.4402
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,5,1.0000,,0.5840,,0.4987
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,6,1.0000,,0.6181,,0.5181
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,7,1.0000,,0.5865,,0.4821
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,8,1.0000,,0.5812,,0.5169
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,9,1.0000,,0.5811,,0.5261
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,10,1.0000,,0.5890,,0.5797
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,11,1.0000,,0.5421,,0.6115
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,12,1.0000,,0.6438,,0.5761
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,0,1.0000,,0.3370,,0.2968
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,1,1.0000,,0.4728,,0.4461
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,2,1.0000,,0.5265,,0.4345
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,3,1.0000,,0.5070,,0.3980
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,4,1.0000,,0.4895,,0.4048
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,5,1.0000,,0.5774,,0.3856
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,6,1.0000,,0.6021,,0.4309
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,7,1.0000,,0.5770,,0.4610
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,8,1.0000,,0.5679,,0.5518
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,9,1.0000,,0.5752,,0.5882
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,10,1.0000,,0.5879,,0.5178
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,11,1.0000,,0.5849,,0.5942
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,12,1.0000,,0.6179,,0.5862
