cell_type,seed,cap,fold,eval_cohort,n_train,n_eval,alpha,l1_ratio,n_nonzero_genes,R,MAE,R_ci_lo,R_ci_hi
B,2,5,loco_onek1k,aida,195,307,5.0000,0.9000,0,0.0000,11.5333,,
B,2,5,loco_terekhova,terekhova,1010,166,2.0000,0.3000,671,0.0300,16.1926,-0.1070,0.1577
B,2,5,loco_terekhova,aida,1010,307,2.0000,0.3000,671,0.0136,16.7937,-0.0935,0.1011
B,2,10,loco_onek1k,onek1k,195,981,5.0000,0.9000,1,0.0181,19.6091,-0.0510,0.0775
B,2,10,loco_onek1k,aida,195,307,5.0000,0.9000,1,0.0743,11.6091,-0.0326,0.1830
B,2,10,loco_terekhova,terekhova,1010,166,1.0000,0.3000,1184,0.1783,14.1513,0.0149,0.3358
B,2,10,loco_terekhova,aida,1010,307,1.0000,0.3000,1184,0.0544,15.8529,-0.0604,0.1685
B,2,20,loco_onek1k,onek1k,195,981,5.0000,0.9000,1,0.0289,19.6225,-0.0328,0.0895
B,2,20,loco_onek1k,aida,195,307,5.0000,0.9000,1,-0.0679,11.6490,-0.1671,0.0276
B,2,20,loco_terekhova,terekhova,1010,166,2.0000,0.5000,203,0.0662,15.7865,-0.0955,0.2320
B,2,20,loco_terekhova,aida,1010,307,2.0000,0.5000,203,0.0026,16.2918,-0.1069,0.1139
B,2,50,loco_onek1k,onek1k,195,981,0.0100,0.3000,983,0.1521,17.2947,0.0856,0.2240
B,2,50,loco_onek1k,aida,195,307,0.0100,0.3000,983,0.0889,10.6078,-0.0241,0.2047
B,2,50,loco_terekhova,terekhova,1010,166,1.0000,0.3000,1119,0.3326,13.9000,0.1885,0.4548
B,2,50,loco_terekhova,aida,1010,307,1.0000,0.3000,1119,0.1045,14.2563,-0.0024,0.2066
B,2,100,loco_onek1k,onek1k,195,981,0.0100,0.3000,974,0.2198,16.8675,0.1630,0.2755
B,2,100,loco_onek1k,aida,195,307,0.0100,0.3000,974,0.0469,15.2196,-0.0705,0.1654
B,2,100,loco_terekhova,terekhova,1010,166,1.0000,0.3000,1050,0.3259,16.7636,0.2063,0.4468
B,2,100,loco_terekhova,aida,1010,307,1.0000,0.3000,1050,0.0773,16.8530,-0.0242,0.1877
B,2,500,loco_onek1k,onek1k,195,981,1.0000,0.9000,124,0.2894,16.2177,0.2347,0.3388
B,2,500,loco_onek1k,aida,195,307,1.0000,0.9000,124,0.0734,11.3000,-0.0260,0.1738
B,2,500,loco_terekhova,terekhova,1010,166,0.5000,0.9000,329,0.3546,19.8918,0.2176,0.4794
B,2,500,loco_terekhova,aida,1010,307,0.5000,0.9000,329,0.1869,22.3966,0.0780,0.2806
B,2,1000,loco_onek1k,onek1k,195,981,0.0010,0.3000,1289,0.2963,10.4970,0.2417,0.3536
B,2,1000,loco_onek1k,aida,195,307,0.0010,0.3000,1289,0.2993,9.4890,0.2003,0.3922
B,2,1000,loco_terekhova,terekhova,1010,166,0.5000,0.9000,334,0.3594,19.5742,0.2236,0.4802
B,2,1000,loco_terekhova,aida,1010,307,0.5000,0.9000,334,0.1899,23.0135,0.0822,0.2834
