label,fold,tag,eval_cohort,cell_type,layer,alpha,n_train_donors,n_eval_donors,pearson_r,pearson_p,mae_y
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,onek1k,CD4+ T,9,1,190,981,0.620172,0,19.312
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,aida,CD4+ T,9,1,190,293,0.490395,3.91181e-19,8.27409
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,onek1k,CD4+ T,10,1,190,981,0.62505,0,16.9357
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,aida,CD4+ T,10,1,190,293,0.520109,1.04392e-21,8.24513
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,onek1k,CD4+ T,11,1,190,981,0.62722,0,19.3835
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,aida,CD4+ T,11,1,190,293,0.531556,9.07611e-23,8.42645
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,onek1k,CD4+ T,12,10,190,981,0.629211,0,14.8276
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,aida,CD4+ T,12,10,190,293,0.546443,3.28595e-24,8.56732
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,onek1k,CD4+ T,0,0.01,190,981,0.342238,2.43224e-28,28.4718
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,aida,CD4+ T,0,0.01,190,293,0.316525,3.0611e-08,10.7919
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,onek1k,CD4+ T,1,0.1,190,981,0.514762,0,27.5477
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,aida,CD4+ T,1,0.1,190,293,0.475079,6.67124e-18,9.22739
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,onek1k,CD4+ T,2,1,190,981,0.536267,0,20.2959
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,aida,CD4+ T,2,1,190,293,0.459801,9.83971e-17,11.475
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,onek1k,CD4+ T,3,1,190,981,0.568899,0,10.9932
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,aida,CD4+ T,3,1,190,293,0.475823,5.83106e-18,11.709
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,onek1k,CD4+ T,4,1,190,981,0.54627,0,14.1504
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,aida,CD4+ T,4,1,190,293,0.480333,2.5618e-18,8.99419
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,onek1k,CD4+ T,5,1,190,981,0.604558,0,13.7889
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,aida,CD4+ T,5,1,190,293,0.482326,1.77415e-18,9.36771
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,onek1k,CD4+ T,6,1,190,981,0.622547,0,11.0513
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,aida,CD4+ T,6,1,190,293,0.550028,1.4415e-24,8.31154
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,onek1k,CD4+ T,7,1,190,981,0.619601,0,12.8324
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,aida,CD4+ T,7,1,190,293,0.529298,1.48022e-22,8.29929
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,onek1k,CD4+ T,8,1,190,981,0.619517,0,13.9595
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,aida,CD4+ T,8,1,190,293,0.55128,1.07842e-24,8.22816
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,onek1k,CD4+ T,9,1,190,981,0.614276,0,14.4239
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,aida,CD4+ T,9,1,190,293,0.552314,8.477e-25,8.51669
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,onek1k,CD4+ T,10,1,190,981,0.613648,0,13.1081
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,aida,CD4+ T,10,1,190,293,0.573805,4.70123e-27,7.75243
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,onek1k,CD4+ T,11,1,190,981,0.601495,0,14.9457
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,aida,CD4+ T,11,1,190,293,0.570551,1.05797e-26,7.63094
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,onek1k,CD4+ T,12,100,190,981,0.564717,0,10.3589
CD4pT_loco_onek1k_s2,loco_onek1k,loco_onek1k_CD4pT_e5b_seed2_alllayers,aida,CD4+ T,12,100,190,293,0.522711,6.04064e-22,8.53296
