method,cell_type,eval_cohort,fold,layer,seed,R,MAE,ci_lo,ci_hi,n_train,n_eval,notes
geneformer_rank16_lora_3seed_layer2,CD4+ T,aida,loco_onek1k,2.0000,,0.4697,10.3848,,,,,"rank-16 LoRA 3-seed mean (R_std=0.022, MAE_std=1.01)"
geneformer_rank16_lora_3seed_layer3,CD4+ T,aida,loco_onek1k,3.0000,,0.4870,10.7486,,,,,"rank-16 LoRA 3-seed mean (R_std=0.010, MAE_std=2.09)"
geneformer_rank16_lora_3seed_layer4,CD4+ T,aida,loco_onek1k,4.0000,,0.4849,9.0503,,,,,"rank-16 LoRA 3-seed mean (R_std=0.011, MAE_std=0.97)"
geneformer_rank16_lora_3seed_layer5,CD4+ T,aida,loco_onek1k,5.0000,,0.4858,8.8526,,,,,"rank-16 LoRA 3-seed mean (R_std=0.012, MAE_std=0.61)"
geneformer_rank16_lora_3seed_layer6,CD4+ T,aida,loco_onek1k,6.0000,,0.5354,8.2431,,,,,"rank-16 LoRA 3-seed mean (R_std=0.026, MAE_std=0.08)"
geneformer_rank16_lora_3seed_layer7,CD4+ T,aida,loco_onek1k,7.0000,,0.5027,8.3908,,,,,"rank-16 LoRA 3-seed mean (R_std=0.033, MAE_std=0.16)"
geneformer_rank16_lora_3seed_layer8,CD4+ T,aida,loco_onek1k,8.0000,,0.5425,8.0848,,,,,"rank-16 LoRA 3-seed mean (R_std=0.013, MAE_std=0.25)"
geneformer_rank16_lora_3seed_layer9,CD4+ T,aida,loco_onek1k,9.0000,,0.5199,8.3596,,,,,"rank-16 LoRA 3-seed mean (R_std=0.031, MAE_std=0.14)"
geneformer_rank16_lora_3seed_layer10,CD4+ T,aida,loco_onek1k,10.0000,,0.5458,8.0740,,,,,"rank-16 LoRA 3-seed mean (R_std=0.027, MAE_std=0.28)"
geneformer_rank16_lora_3seed_layer11,CD4+ T,aida,loco_onek1k,11.0000,,0.5659,7.9598,,,,,"rank-16 LoRA 3-seed mean (R_std=0.032, MAE_std=0.42)"
