method,fold,cell_type,seed,layer,n_bootstraps,wins,win_rate,mean_cv_R,std_cv_R,kfold_cv_pick_d37,oracle_pick_d37,top1_layer,top1_win_rate,top2_layer,top2_win_rate,stability
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,0,200,0,0.0000,0.3318,0.0222,6,5,12,1.0000,0,0.0000,robust
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,1,200,0,0.0000,0.5230,0.0204,6,5,12,1.0000,0,0.0000,robust
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,2,200,0,0.0000,0.5765,0.0183,6,5,12,1.0000,0,0.0000,robust
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,3,200,0,0.0000,0.5812,0.0180,6,5,12,1.0000,0,0.0000,robust
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,4,200,0,0.0000,0.5566,0.0184,6,5,12,1.0000,0,0.0000,robust
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,5,200,0,0.0000,0.5429,0.0182,6,5,12,1.0000,0,0.0000,robust
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,6,200,0,0.0000,0.5061,0.0186,6,5,12,1.0000,0,0.0000,robust
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,7,200,0,0.0000,0.4792,0.0190,6,5,12,1.0000,0,0.0000,robust
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,8,200,0,0.0000,0.4439,0.0193,6,5,12,1.0000,0,0.0000,robust
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,9,200,0,0.0000,0.4206,0.0199,6,5,12,1.0000,0,0.0000,robust
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,10,200,0,0.0000,0.4317,0.0201,6,5,12,1.0000,0,0.0000,robust
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,11,200,0,0.0000,0.4158,0.0195,6,5,12,1.0000,0,0.0000,robust
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,12,200,200,1.0000,0.6172,0.0192,6,5,12,1.0000,0,0.0000,robust
geneformer_frozen_seed0,loco_terekhova,B,0,0,200,0,0.0000,0.2822,0.0257,3,9,3,0.9050,12,0.0750,robust
