donor,pred_age,true_age
onek1k:282_283,50.69145965576172,40.0
onek1k:283_284,50.48141860961914,47.0
onek1k:284_285,50.917762756347656,30.0
onek1k:286_287,50.05050849914551,44.0
onek1k:287_288,55.00051689147949,79.0
onek1k:288_289,59.56360626220703,80.0
onek1k:289_290,50.90963363647461,29.0
onek1k:28_28,56.374549865722656,74.0
onek1k:290_291,55.74817085266113,53.0
onek1k:291_292,52.96157264709473,67.0
onek1k:292_293,51.70290565490723,76.0
onek1k:293_294,61.27432632446289,86.0
onek1k:294_295,53.83932876586914,54.0
onek1k:295_296,56.95147132873535,87.0
onek1k:296_297,55.74175834655762,80.0
onek1k:297_298,56.55036544799805,82.0
onek1k:298_299,53.17017936706543,74.0
onek1k:299_300,60.22157859802246,95.0
onek1k:29_29,53.44499969482422,69.0
onek1k:2_2,56.68397331237793,48.0
onek1k:301_302,61.05259895324707,88.0
onek1k:302_303,52.827131271362305,83.0
onek1k:303_304,53.98657989501953,85.0
onek1k:304_305,55.56338310241699,68.0
onek1k:305_306,56.272125244140625,74.0
onek1k:306_307,59.115304946899414,80.0
onek1k:307_308,60.10063934326172,91.0
onek1k:308_309,57.283090591430664,79.0
onek1k:309_310,51.673526763916016,75.0
onek1k:30_30,51.962074279785156,37.0
onek1k:310_311,59.85685157775879,80.0
onek1k:311_312,54.13410758972168,88.0
onek1k:312_313,56.22374725341797,84.0
onek1k:313_314,48.945858001708984,33.0
onek1k:314_315,54.761871337890625,80.0
onek1k:315_316,54.750078201293945,80.0
onek1k:316_317,53.364219665527344,76.0
onek1k:317_318,50.501657485961914,66.0
onek1k:318_319,56.40511703491211,88.0
onek1k:319_320,51.03714370727539,84.0
onek1k:320_321,58.21160697937012,89.0
onek1k:321_322,56.83430480957031,76.0
onek1k:322_323,55.51796531677246,90.0
onek1k:323_324,60.91748046875,77.0
onek1k:324_325,58.7006721496582,97.0
onek1k:325_326,54.76877975463867,66.0
onek1k:326_327,60.49249267578125,66.0
onek1k:327_328,52.737064361572266,23.0
onek1k:328_329,54.561288833618164,65.0
onek1k:329_330,52.8192253112793,42.0
onek1k:330_331,56.61148452758789,63.0
onek1k:331_332,52.384084701538086,24.0
onek1k:332_333,49.5474853515625,62.0
onek1k:333_334,57.779001235961914,51.0
onek1k:334_335,51.257490158081055,60.0
onek1k:335_336,51.30387878417969,71.0
onek1k:336_337,53.729366302490234,57.0
onek1k:337_338,52.068891525268555,42.0
onek1k:338_339,52.12051773071289,69.0
onek1k:339_340,52.05060005187988,80.0
onek1k:33_33,55.67520332336426,73.0
onek1k:340_341,53.71597099304199,78.0
onek1k:342_343,53.01727867126465,80.0
onek1k:344_345,51.25600051879883,61.0
onek1k:345_346,50.96487236022949,66.0
onek1k:346_347,49.710838317871094,61.0
onek1k:347_348,51.93211555480957,49.0
onek1k:348_349,50.61115264892578,31.0
onek1k:349_350,52.27836799621582,51.0
onek1k:350_351,51.968284606933594,52.0
onek1k:351_352,53.449270248413086,77.0
onek1k:352_353,53.065019607543945,58.0
onek1k:353_354,54.26567459106445,71.0
onek1k:354_355,50.39591026306152,23.0
onek1k:355_356,49.20753479003906,27.0
onek1k:356_357,49.709218978881836,28.0
onek1k:357_358,54.96369171142578,39.0
onek1k:358_359,55.7183723449707,52.0
onek1k:359_360,51.62482452392578,58.0
onek1k:35_35,56.646677017211914,69.0
onek1k:360_361,52.18686485290527,46.0
onek1k:361_362,51.889076232910156,56.0
onek1k:363_364,53.69145202636719,66.0
onek1k:364_365,51.66913986206055,42.0
onek1k:365_366,52.81218147277832,67.0
onek1k:366_367,50.58144569396973,35.0
onek1k:367_368,52.31006050109863,65.0
onek1k:368_369,48.360761642456055,36.0
onek1k:369_370,53.54295539855957,54.0
onek1k:36_36,56.29185104370117,66.0
onek1k:370_371,51.11539840698242,26.0
onek1k:371_372,52.907094955444336,41.0
onek1k:372_373,51.03545570373535,49.0
onek1k:373_374,55.48884201049805,78.0
onek1k:374_375,54.35936164855957,50.0
onek1k:376_377,53.426456451416016,79.0
onek1k:377_378,52.56025505065918,38.0
onek1k:378_379,50.71583938598633,22.0
onek1k:379_380,54.262542724609375,51.0
onek1k:37_37,54.587745666503906,47.0
onek1k:380_381,62.17447853088379,79.0
onek1k:381_382,52.10854911804199,77.0
