donor_id,true_age,predicted_age,n_cells
onek1k:338_339,69.0,50.50324,66
onek1k:339_340,80.0,54.72756,31
onek1k:340_341,78.0,43.009315,10
onek1k:342_343,80.0,53.7495,15
onek1k:344_345,61.0,53.337204,76
onek1k:345_346,66.0,53.732273,65
onek1k:346_347,61.0,53.300068,193
onek1k:347_348,49.0,42.953373,4
onek1k:348_349,31.0,43.66348,9
onek1k:349_350,51.0,53.46739,176
onek1k:350_351,52.0,44.21482,82
onek1k:351_352,77.0,46.414093,15
onek1k:352_353,58.0,45.62728,48
onek1k:353_354,71.0,45.026947,84
onek1k:354_355,23.0,50.344246,40
onek1k:355_356,27.0,46.99914,1
onek1k:356_357,28.0,57.71802,46
onek1k:357_358,39.0,46.519196,20
onek1k:358_359,52.0,48.697773,41
onek1k:359_360,58.0,55.976593,39
onek1k:360_361,46.0,48.50024,13
onek1k:361_362,56.0,48.85918,58
onek1k:363_364,66.0,46.15199,14
onek1k:364_365,42.0,48.977993,121
onek1k:365_366,67.0,49.07466,24
onek1k:366_367,35.0,57.647564,13
onek1k:367_368,65.0,50.024193,16
onek1k:368_369,36.0,42.862408,37
onek1k:369_370,54.0,43.566166,64
onek1k:370_371,26.0,44.346577,15
onek1k:371_372,41.0,47.857166,37
onek1k:372_373,49.0,46.869137,17
onek1k:373_374,78.0,48.34051,36
onek1k:374_375,50.0,47.06282,48
onek1k:376_377,79.0,55.75254,28
onek1k:377_378,38.0,46.352676,24
onek1k:378_379,22.0,44.976368,33
onek1k:379_380,51.0,45.887157,30
onek1k:380_381,79.0,57.9933,54
onek1k:381_382,77.0,44.900803,30
onek1k:382_383,63.0,45.539093,44
onek1k:383_384,81.0,51.613064,49
onek1k:384_385,61.0,56.039433,43
onek1k:385_386,47.0,44.889496,70
onek1k:386_387,80.0,54.154224,101
onek1k:387_388,65.0,52.571953,126
onek1k:388_389,62.0,42.46611,24
onek1k:389_390,81.0,54.554207,8
onek1k:390_391,78.0,45.011856,15
onek1k:391_392,43.0,43.620495,9
onek1k:392_393,56.0,39.611393,5
onek1k:393_394,56.0,54.7794,51
onek1k:394_395,37.0,58.176125,4
onek1k:395_396,66.0,50.383423,11
onek1k:396_397,57.0,42.697655,137
onek1k:398_399,55.0,41.04386,2
onek1k:399_400,49.0,44.465427,7
onek1k:400_401,46.0,56.4665,20
onek1k:402_403,66.0,51.242317,45
onek1k:403_404,65.0,45.644806,41
onek1k:404_405,64.0,43.011665,56
onek1k:405_406,70.0,48.9707,18
onek1k:406_407,59.0,49.80348,21
onek1k:407_408,65.0,50.92274,4
onek1k:408_409,74.0,52.3781,3
onek1k:409_410,65.0,45.432186,18
onek1k:410_411,61.0,52.818382,18
onek1k:411_412,49.0,42.30675,25
onek1k:412_413,85.0,50.110188,181
onek1k:413_414,24.0,43.220177,6
onek1k:414_415,22.0,48.650574,2
onek1k:415_416,80.0,52.434433,137
onek1k:416_417,63.0,53.819736,14
onek1k:417_418,78.0,53.19619,134
onek1k:418_419,76.0,52.994396,19
onek1k:419_420,72.0,44.18838,119
onek1k:420_421,75.0,47.128834,12
onek1k:421_422,61.0,55.429955,15
onek1k:422_423,53.0,49.174927,6
onek1k:423_424,59.0,57.339783,34
onek1k:424_425,78.0,50.233948,11
onek1k:425_426,50.0,48.14963,7
onek1k:426_427,63.0,46.327423,4
onek1k:427_428,67.0,58.364132,7
onek1k:428_429,75.0,57.3459,12
onek1k:429_430,87.0,55.590374,10
onek1k:431_432,78.0,48.551556,7
onek1k:432_433,78.0,57.82568,21
onek1k:433_434,80.0,59.34005,7
onek1k:434_435,78.0,48.85366,50
onek1k:435_436,67.0,57.36041,20
onek1k:436_437,45.0,59.822124,7
onek1k:437_438,21.0,48.694145,6
onek1k:438_439,32.0,46.752045,2
onek1k:439_440,71.0,59.808456,28
onek1k:441_442,70.0,58.864754,10
onek1k:442_443,58.0,53.22435,56
onek1k:443_444,29.0,46.00677,18
onek1k:445_446,83.0,45.261497,8
onek1k:446_447,72.0,48.590042,8
onek1k:447_448,66.0,61.168655,19
onek1k:448_449,82.0,48.433086,7
onek1k:449_450,85.0,50.88037,14
onek1k:450_451,84.0,59.572056,43
onek1k:451_452,89.0,58.171207,7
onek1k:452_453,77.0,57.140854,4
onek1k:453_454,85.0,49.524563,6
onek1k:454_455,79.0,58.166534,18
onek1k:455_456,80.0,48.67365,25
onek1k:456_457,76.0,58.607616,21
onek1k:457_458,73.0,60.494602,18
onek1k:458_459,84.0,52.298084,10
onek1k:459_460,87.0,50.233448,9
onek1k:460_461,58.0,51.366882,4
onek1k:461_462,61.0,50.266747,2
onek1k:462_463,83.0,51.06113,17
onek1k:463_464,86.0,48.38657,9
onek1k:464_465,76.0,50.239475,9
onek1k:465_466,59.0,52.77229,81
onek1k:466_467,85.0,44.691277,112
onek1k:467_468,74.0,43.820724,187
onek1k:468_469,76.0,44.9785,127
onek1k:469_470,78.0,53.75407,186
onek1k:470_471,83.0,54.864094,23
onek1k:471_472,65.0,44.46987,82
onek1k:472_473,77.0,50.61827,72
onek1k:473_474,72.0,47.33592,59
onek1k:474_475,79.0,48.652378,14
onek1k:475_476,36.0,55.275925,22
onek1k:476_477,53.0,54.753963,32
onek1k:477_478,53.0,48.39146,13
onek1k:478_479,68.0,53.05951,134
onek1k:479_480,86.0,50.703808,116
onek1k:480_481,69.0,51.656284,125
onek1k:481_482,68.0,42.04976,115
onek1k:482_483,23.0,47.94538,104
onek1k:483_484,71.0,51.69037,133
onek1k:484_485,60.0,45.2923,23
onek1k:485_486,48.0,42.61919,17
onek1k:486_487,36.0,41.57402,20
onek1k:487_488,67.0,51.61388,55
onek1k:488_489,56.0,55.12697,18
onek1k:489_490,52.0,50.29287,45
onek1k:490_491,64.0,52.239677,24
onek1k:491_492,41.0,53.581734,3
onek1k:492_493,79.0,45.905388,16
onek1k:493_494,73.0,51.33349,4
onek1k:494_495,24.0,47.368538,14
onek1k:496_497,33.0,51.67839,4
onek1k:497_498,31.0,44.42962,29
onek1k:498_499,71.0,52.702984,37
onek1k:499_500,77.0,44.872364,123
onek1k:500_501,59.0,52.131966,10
onek1k:501_502,64.0,48.89272,18
onek1k:502_503,66.0,46.624393,4
onek1k:503_504,49.0,52.587337,17
onek1k:504_505,85.0,46.36715,62
onek1k:505_506,54.0,51.916298,48
onek1k:506_507,41.0,44.591793,103
onek1k:507_508,66.0,54.60079,131
onek1k:508_509,79.0,55.536205,43
onek1k:509_510,80.0,45.395294,154
onek1k:510_511,84.0,55.141518,80
onek1k:511_512,89.0,53.130486,166
onek1k:512_513,79.0,45.95004,96
onek1k:513_514,82.0,54.380497,43
onek1k:514_515,90.0,55.07713,149
onek1k:515_516,37.0,52.022957,11
onek1k:516_517,34.0,41.671192,5
onek1k:517_518,68.0,53.33666,23
onek1k:519_520,75.0,41.618004,20
onek1k:520_521,69.0,51.868702,5
onek1k:521_522,57.0,44.877552,89
onek1k:522_523,62.0,45.28745,3
onek1k:524_525,74.0,54.57154,91
onek1k:525_526,78.0,43.690178,9
onek1k:526_527,66.0,46.870537,12
onek1k:527_528,65.0,49.659416,4
onek1k:528_529,68.0,55.892048,12
onek1k:529_530,78.0,54.52545,23
onek1k:530_531,78.0,59.190384,4
onek1k:531_532,65.0,56.153675,3
onek1k:532_533,79.0,52.47459,10
onek1k:533_534,33.0,53.308216,38
onek1k:534_535,88.0,52.851856,143
onek1k:535_536,82.0,47.826004,18
onek1k:536_537,67.0,52.631996,94
onek1k:537_538,53.0,46.385746,5
onek1k:538_539,60.0,48.021534,4
onek1k:539_540,62.0,53.0263,26
onek1k:540_541,53.0,45.53781,22
onek1k:541_542,58.0,46.356438,14
onek1k:542_543,58.0,54.327118,29
onek1k:543_544,72.0,46.501225,28
onek1k:544_545,68.0,55.08159,1
onek1k:545_546,67.0,49.0259,26
onek1k:546_547,73.0,46.160618,120
onek1k:547_548,73.0,53.408546,50
onek1k:548_549,40.0,45.69075,49
onek1k:549_550,60.0,45.824413,125
onek1k:550_551,82.0,45.887814,18
onek1k:551_552,72.0,45.591442,29
onek1k:552_553,29.0,49.74301,11
onek1k:553_554,36.0,54.78095,49
onek1k:554_555,80.0,52.93932,12
onek1k:555_556,77.0,51.942245,28
onek1k:557_558,64.0,47.5054,10
onek1k:558_559,80.0,47.851284,9
onek1k:559_560,77.0,50.176296,7
onek1k:560_561,72.0,56.892303,37
onek1k:561_562,56.0,52.627674,14
onek1k:562_563,71.0,49.038666,6
onek1k:563_564,75.0,54.33591,5
onek1k:564_565,80.0,48.701782,5
onek1k:565_566,57.0,53.40748,26
onek1k:566_567,58.0,51.52636,22
onek1k:567_568,68.0,57.524452,18
onek1k:569_570,69.0,57.501247,5
onek1k:570_571,59.0,53.769066,70
onek1k:571_572,84.0,43.93614,19
onek1k:572_573,86.0,53.027252,2
onek1k:573_574,26.0,43.461792,22
onek1k:574_575,24.0,46.56212,41
onek1k:575_576,50.0,54.30444,21
onek1k:576_577,70.0,46.40868,101
onek1k:577_578,72.0,53.89658,132
onek1k:578_579,22.0,46.924988,28
onek1k:579_580,34.0,46.904324,32
onek1k:580_581,37.0,53.56537,30
onek1k:581_582,63.0,45.801517,41
onek1k:582_583,52.0,43.762722,17
onek1k:583_584,36.0,52.51237,79
onek1k:584_585,74.0,54.40262,22
onek1k:585_586,71.0,54.281734,127
onek1k:586_587,51.0,52.378086,115
onek1k:587_588,72.0,46.044357,86
onek1k:588_589,69.0,53.90463,48
onek1k:589_590,75.0,45.55458,145
onek1k:590_591,69.0,54.21569,114
onek1k:591_592,83.0,56.18541,126
onek1k:592_593,68.0,55.56203,102
onek1k:593_594,69.0,53.152622,16
onek1k:594_595,74.0,45.13323,141
onek1k:595_596,81.0,55.727306,121
onek1k:596_597,44.0,43.187485,110
onek1k:597_598,52.0,54.02288,65
onek1k:598_599,49.0,45.159103,4
onek1k:599_600,71.0,44.6309,25
onek1k:600_601,39.0,52.374355,13
onek1k:602_603,70.0,58.36464,1
onek1k:603_604,87.0,57.95878,73
onek1k:604_605,81.0,44.93396,37
onek1k:605_606,41.0,46.51557,40
onek1k:606_607,71.0,42.925472,7
onek1k:607_608,77.0,44.405228,134
onek1k:608_609,67.0,55.422783,130
onek1k:609_610,62.0,52.220036,71
onek1k:610_611,63.0,54.773094,70
onek1k:611_612,76.0,44.17091,120
onek1k:612_613,83.0,55.11273,86
onek1k:613_614,78.0,44.281292,59
onek1k:614_615,67.0,45.293453,45
onek1k:615_616,58.0,46.371483,25
onek1k:616_617,53.0,45.61111,57
onek1k:617_618,62.0,51.324394,2
onek1k:618_619,30.0,46.689743,102
onek1k:619_620,22.0,42.457603,7
onek1k:620_621,35.0,46.045536,57
onek1k:621_622,91.0,55.866814,53
onek1k:622_623,86.0,54.98235,105
onek1k:623_624,74.0,44.361767,120
onek1k:624_625,60.0,51.655994,39
onek1k:625_626,59.0,45.754753,25
onek1k:626_627,46.0,45.201202,140
onek1k:627_628,69.0,46.788704,120
onek1k:628_629,73.0,54.140053,191
onek1k:629_630,34.0,53.16251,104
onek1k:630_631,54.0,47.45024,59
